,	Participate in a short survey to give us feedback	Participate in a short survey to give us feedback_XXX
,	Thank you for offering your feedback	Thank you for offering your feedback_XXX
,	Understanding your experiences and opinions helps us make this product better for you and other users.	Understanding your experiences and opinions helps us make this product better for you and other users._XXX
,	Completing this survey will take about 3-5 minutes.	Completing this survey will take about 3-5 minutes._XXX
,	You must be at least 18 years old to participate.	You must be at least 18 years old to participate._XXX
,	We will use your personal information only for purposes of user research and will not share it with anyone else. For details on how we treat personal information from users, read our &lt;a href=&quot;http://www.google.com/intl/en/policies/privacy/&quot; target=&quot;_blank&quot;&gt;privacy policy&lt;/a&gt; (link opens in a new window).	We will use your personal information only for purposes of user research and will not share it with anyone else. For details on how we treat personal information from users, read our &lt;a href=&quot;http://www.google.com/intl/en/policies/privacy/&quot; target=&quot;_blank&quot;&gt;privacy policy&lt;/a&gt; (link opens in a new window)._XXX
,	In this survey, we would like you to tell us your opinion about the language we use in AdWords Editor. Please note that we would like you to think about the written language provided by AdWords Editor in elements such as buttons, messages, navigation or help text.	In this survey, we would like you to tell us your opinion about the language we use in AdWords Editor. Please note that we would like you to think about the written language provided by AdWords Editor in elements such as buttons, messages, navigation or help text._XXX
,	I confirm: I will give feedback about the written language provided by AdWords Editor	I confirm: I will give feedback about the written language provided by AdWords Editor_XXX
,	How friendly or unfriendly is the language used in the AdWords Editor interface? By &quot;friendly&quot; we mean that the language used shows that AdWords Editor respects and likes their users.	How friendly or unfriendly is the language used in the AdWords Editor interface? By &quot;friendly&quot; we mean that the language used shows that AdWords Editor respects and likes their users._XXX
,	Very unfriendly	Very unfriendly_XXX
,	Rather unfriendly	Rather unfriendly_XXX
,	Neither unfriendly nor friendly	Neither unfriendly nor friendly_XXX
,	Rather friendly	Rather friendly_XXX
,	Very friendly	Very friendly_XXX
